"285_35_106_31_12_635, 0.7209908136482941"
"172_5_162_30_4_1041, 0.33720661694072446"
"534_20_163_14_20_1096, 0.7681602037712896"
"259_10_31_9_15_1085, 0.5497084801662602"
"159_35_23_24_20_794, 0.5438710117548279"
"537_27_65_27_20_771, 0.47789591439688717"
"271_48_68_20_9_596, 0.680163870246085"
"106_27_103_11_4_747, 0.6100840026773763"
"51_16_141_8_13_1072, 0.5582458525387768"
"165_19_133_31_9_878, 0.5686367691723615"
"144_14_2_16_7_816, 0.495295955882353"
"285_42_81_36_6_904, 0.5614669063421829"
"480_5_123_14_16_964, 0.6532524357253275"
"310_15_60_7_2_1020, 0.5374754901960784"
"509_13_33_35_14_1003, 0.6072912097042207"
"42_44_152_23_12_1071, 0.47013445378151264"
"276_27_88_13_4_770, 0.6794588744588747"
"359_43_142_5_10_878, 0.7589200835231588"
"90_42_17_25_17_703, 0.5050133949739214"
"157_16_125_1_13_939, 0.5534703219946127"
"557_24_10_29_13_552, 0.412991847826087"
"171_33_55_1_4_1071, 0.42540406162464994"
"130_16_66_27_15_794, 0.5399653405442782"
"431_28_168_27_10_605, 0.573870523415978"
"497_47_11_7_11_784, 0.608499468537415"
"516_24_141_34_8_1043, 0.6743989293704059"
"6_24_159_5_15_511, 0.5826470971950425"
"210_28_159_10_18_831, 0.7650424187725633"
"483_13_94_15_7_604, 0.4670001785482405"
"73_29_121_31_0_935, 0.3813658645276293"
"298_41_175_14_5_598, 0.8147377369007804"
"410_6_81_26_10_992, 0.5207713126581278"
"564_18_153_28_13_907, 0.5881180632120544"
"192_25_166_14_0_779, 0.6057892597347027"
"407_22_60_8_11_868, 0.7846824116743474"
"22_27_41_1_20_625, 0.4775166666666668"
"491_34_55_23_7_765, 0.5039133986928104"
"538_41_53_31_13_685, 0.4629349148418492"
"418_31_140_24_20_1056, 0.646561553030303"
"244_20_15_0_18_507, 0.651499506903353"
"151_10_167_27_18_771, 0.5562509918364233"
"326_37_150_20_8_764, 0.7155495200698082"
"561_7_134_6_6_534, 0.5118519497686715"
"318_25_137_28_2_501, 0.5436796407185629"
"381_6_148_27_15_765, 0.6533823529411764"
"187_19_166_35_10_873, 0.6132342497136312"
"174_3_72_14_20_959, 0.4491673107199084"
"575_0_141_7_7_1044, 0.5008503352490422"
"400_0_148_34_4_573, 0.3338944153577662"
"17_37_43_0_19_712, 0.4714142088014982"
"497_25_40_25_6_993, 0.6152527693856998"
"35_12_130_32_15_879, 0.45008786722880284"
"331_10_69_32_17_919, 0.5474090070195653"
"408_20_142_1_13_648, 0.6236828703703704"
"569_37_3_23_4_1078, 0.5243511904761905"
"484_17_11_1_6_1081, 0.5734700123342585"
"230_7_73_26_3_989, 0.350750961557525"
"292_19_38_29_9_784, 0.6282778486394558"
"149_20_174_34_1_899, 0.4737623285131628"
"503_32_8_4_7_900, 0.6055555555555556"
"568_38_9_29_18_1096, 0.6108723388077859"
"246_46_72_5_17_667, 0.7211741629185408"
"92_5_169_26_10_857, 0.43342661930583204"
"13_39_173_7_9_578, 0.6272373125720878"
"472_23_156_34_13_879, 0.7029738339021615"
"407_33_46_30_7_1021, 0.5752667319621287"
"255_35_131_31_2_920, 0.5144995471014494"
"217_15_99_14_13_572, 0.7315896321815442"
"572_34_115_13_12_745, 0.5965240492170023"
"512_0_148_23_15_847, 0.4351320346320347"
"181_38_80_21_18_642, 0.6188769470404984"
"255_28_111_13_16_915, 0.6937090163934426"
"93_39_71_24_9_678, 0.5306714601769912"
"72_34_53_5_8_533, 0.5529867104440276"
"382_30_25_31_6_533, 0.37331973108192623"
"112_20_85_9_0_767, 0.5471259235115168"
"333_22_53_11_8_1048, 0.6579132474554709"
"418_18_93_34_1_651, 0.4478529185867895"
"302_10_15_3_1_688, 0.504657368616051"
"249_20_77_4_20_652, 0.7174760991820042"
"385_8_18_1_14_578, 0.37905392156862744"
"185_8_163_15_20_1069, 0.5055726031291844"
"231_36_178_31_16_1068, 0.5707710674157304"
"282_23_40_34_13_1085, 0.5289016897081414"
"331_43_74_17_20_611, 0.7064364429896345"
"69_19_66_9_20_895, 0.5989478584729983"
"152_19_141_25_18_998, 0.5385451736806948"
"301_43_141_19_1_613, 0.6680006797172379"
"440_11_172_17_4_818, 0.6236821276187736"
"149_45_76_5_11_534, 0.6702265917602998"
"279_20_83_21_1_871, 0.509662552621508"
"300_7_155_35_19_905, 0.5474015545444698"
"537_18_73_25_4_510, 0.3895955882352942"
"171_48_93_35_13_842, 0.5754846595407759"
"336_11_16_22_1_1086, 0.3644257393565161"
"422_13_39_4_1_947, 0.5401622719837672"
"32_37_36_33_13_819, 0.46614041514041515"
"572_40_7_8_19_555, 0.5109121621621623"
"527_24_94_13_20_958, 0.72369711203897"
"238_20_143_0_17_988, 0.5861240721997302"
"559_9_147_33_19_1085, 0.587930220475287"
"368_25_19_31_7_1010, 0.5476629537953797"
"389_22_98_7_15_964, 0.7387498271092671"
"348_16_115_31_20_808, 0.6988661121626869"
"215_48_180_11_5_692, 0.816778420038536"
"524_20_27_21_12_650, 0.44030448717948717"
"123_20_121_29_8_870, 0.5283836206896553"
"212_47_6_7_10_1040, 0.5812940705128206"
"201_1_164_24_20_1099, 0.36425946939285264"
"506_11_77_24_5_732, 0.36606089279974285"
"493_15_64_11_1_698, 0.44975445249733137"
"216_25_145_8_5_922, 0.6371888105567607"
"345_18_29_30_6_986, 0.536902721433401"
"431_9_39_26_17_540, 0.34811887254901963"
"524_38_128_29_12_809, 0.5671907704985579"
"63_26_29_8_11_851, 0.5736557971014493"
"564_3_96_9_1_597, 0.3329651197162283"
"496_26_62_36_4_1062, 0.5713874764595104"
"226_37_120_30_5_906, 0.5358101545253863"
"453_43_138_25_12_809, 0.6826882983106717"
"514_1_97_35_7_730, 0.28248203733548216"
"127_25_96_14_7_731, 0.6202601459188327"
"208_43_102_14_3_839, 0.5911112435439015"
"295_10_9_5_5_579, 0.5772064665244336"
"513_45_16_9_15_1003, 0.7509788966434032"
"401_44_169_17_18_558, 0.570486559139785"
"173_28_18_22_0_1027, 0.35877491074326523"
"419_15_143_15_15_1040, 0.6955032758295627"
"532_21_50_32_16_814, 0.5136730139230139"
"174_11_69_0_18_557, 0.5534185324039851"
"268_44_172_27_1_1099, 0.4621245071276918"
"366_10_94_34_14_814, 0.6285740111769524"
"323_22_136_27_3_926, 0.5639172066234702"
"479_38_88_4_9_723, 0.5744073305670816"
"39_39_150_33_0_901, 0.3870142434332223"
"315_44_171_12_8_645, 0.9162209302325582"
"357_14_63_3_5_634, 0.577793336735325"
"259_35_158_12_2_921, 0.6300233441910967"
"433_12_140_29_3_767, 0.5469087864611296"
"302_35_101_18_18_977, 0.627679716820198"
"114_41_3_21_13_552, 0.5103084239130434"
"441_9_131_5_13_609, 0.48909598667053034"
"223_31_103_2_8_535, 0.7003232087227416"
"217_10_143_30_13_1072, 0.4703692886669594"
"422_31_29_17_1_886, 0.5933251504890896"
"495_10_86_11_15_560, 0.5131140581232494"
"56_19_60_25_6_879, 0.42985096700796355"
"452_15_166_30_3_823, 0.5988091392085387"
"501_12_38_29_20_679, 0.39675303936007394"
"219_28_21_1_20_981, 0.5331551987767584"
"390_20_81_32_0_796, 0.5975076423785595"
"128_28_12_31_4_857, 0.42590937378451965"
"263_5_9_27_14_573, 0.5125035160661123"
"507_20_49_24_10_1066, 0.6441848811757348"
"443_36_42_7_4_1066, 0.6235880237648532"
"14_32_3_0_19_912, 0.419717379385965"
"91_15_159_7_9_976, 0.5757573479186758"
"478_26_27_24_13_713, 0.4860756194483403"
"49_8_51_20_8_628, 0.36998197670788063"
"120_46_108_1_17_856, 0.5615681464174455"
"518_19_153_1_0_609, 0.49675862068965526"
"201_16_133_0_7_789, 0.588863173786625"
"370_28_154_15_1_535, 0.5093769470404985"
"37_40_69_18_17_719, 0.5280478674084377"
"102_30_160_26_18_981, 0.5274403669724771"
"135_31_162_23_8_1076, 0.491472893432466"
"12_40_37_32_0_1091, 0.27706332111212956"
"243_39_147_22_14_701, 0.7009542320494532"
"422_0_67_35_2_733, 0.34536755343337877"
"309_4_68_30_11_1109, 0.4023411216605669"
"439_41_94_4_4_978, 0.6439913087934561"
"224_44_155_6_18_619, 0.8679485729671514"
"579_1_55_16_8_815, 0.30682951401419467"
"588_16_16_1_20_829, 0.43485096620071445"
"455_39_21_18_1_751, 0.4806172880603639"
"324_5_76_6_17_731, 0.6473292293661652"
"183_28_100_12_10_788, 0.7067694585448394"
"512_6_136_1_18_751, 0.4361995509255633"
"497_12_16_11_16_790, 0.5862875403325888"
"221_44_29_0_4_534, 0.5588852996254683"
"189_25_55_22_15_860, 0.5590285852713178"
"318_10_85_30_15_514, 0.5001315041580834"
"581_42_160_11_9_1033, 0.734888028396257"
"114_47_119_35_20_598, 0.6007640746934225"
"377_5_180_6_16_769, 0.7318243453428187"
"501_38_132_0_2_859, 0.5373193636010866"
"109_4_72_35_17_605, 0.41581874898719823"
"567_38_144_30_0_1080, 0.53875"
"563_25_10_2_19_834, 0.4852955635491606"
"139_30_26_1_1_818, 0.42602913610431953"
"554_27_107_33_12_830, 0.5252585341365462"
"24_38_79_23_2_631, 0.39537070787110407"
"523_46_164_32_11_557, 0.543888090963495"
"187_20_166_18_6_1046, 0.5269453473550033"
"439_26_178_10_20_777, 0.8341422136422136"
"395_3_127_36_11_953, 0.5189624045840793"
"165_3_8_23_13_804, 0.3813643546971028"
"368_30_39_15_7_754, 0.7301108532272326"
"464_25_130_29_2_972, 0.6018760288065844"
"101_48_80_23_1_856, 0.41013707165109037"
"190_43_103_23_8_1039, 0.5022363650946423"
"496_21_27_9_2_664, 0.45472728413654623"
"401_20_32_12_20_692, 0.700159922928709"
"99_2_45_3_19_831, 0.38100918454024213"
"498_18_17_25_12_794, 0.5311978379513015"
"215_37_9_15_9_981, 0.5628825178389399"
"520_15_175_35_10_555, 0.494089825119237"
"190_35_131_14_6_945, 0.5955092592592592"
"384_2_2_31_2_1107, 0.28684744141559065"
"494_9_62_2_16_891, 0.5653410246253383"
"477_15_45_25_19_712, 0.47630412122714255"
"26_24_164_7_3_801, 0.541203495630462"
"512_40_111_6_4_839, 0.5968695868096942"
"163_35_25_7_3_635, 0.5651345144356955"
"526_19_131_33_4_907, 0.5541186144799708"
"355_9_96_3_14_1046, 0.5501464777115436"
"441_28_105_3_17_706, 0.6315742445703493"
"478_3_4_19_14_548, 0.26534310147416634"
"56_20_53_27_18_503, 0.5013904903909874"
"553_47_102_27_1_719, 0.3863319425127492"
"308_48_96_6_2_963, 0.5836458982346834"
"468_1_113_29_1_902, 0.4083609897395766"
"59_30_177_20_19_526, 0.5395915716096324"
"195_36_43_30_20_967, 0.5230047397449156"
"472_33_24_19_1_1014, 0.5373362919132151"
"507_9_163_15_20_708, 0.5126831380857428"
"308_18_79_8_2_859, 0.6417212844392705"
"132_26_122_12_6_858, 0.6130751748251749"
"378_27_79_26_14_946, 0.6437670014094432"
"139_47_69_14_1_735, 0.536062925170068"
"383_43_180_22_7_651, 0.6851897081413212"
"28_27_101_28_7_708, 0.47964371468926553"
"475_35_11_32_0_955, 0.532423647469459"
"336_4_111_31_8_915, 0.48208895853423345"
"420_12_138_28_4_1014, 0.5342479115906719"
"3_4_154_36_19_885, 0.35488035892323033"
"77_48_65_7_8_814, 0.5740615274365274"
"377_27_77_20_2_858, 0.5812642773892776"
"333_14_29_6_3_566, 0.5248382959190744"
"249_38_30_33_12_1044, 0.5212227011494254"
"536_9_4_34_19_1025, 0.5266021042563367"
"251_12_22_31_4_1021, 0.3952053734324289"
"175_36_139_28_1_680, 0.537827818627451"
"427_24_167_22_17_842, 0.7562299089469517"
"239_22_1_33_2_688, 0.5015398498062016"
"447_8_74_33_12_1062, 0.5293497008973083"
"370_40_152_6_11_630, 0.746468253968254"
"321_29_161_35_10_718, 0.7608139507892294"
"169_35_57_6_0_1040, 0.44610777243589755"
"444_24_162_24_6_1088, 0.6050062806372549"
"550_34_81_25_15_592, 0.4753030686936937"
"539_18_115_34_10_1063, 0.6772253841329571"
"30_36_47_36_3_628, 0.3886336252653928"
"205_29_171_15_11_854, 0.6965498633879783"
"47_10_167_35_10_876, 0.4554827591995703"
"321_11_114_2_11_839, 0.6364812568650822"
"325_6_57_20_0_795, 0.4216874768775435"
"118_4_7_36_8_518, 0.3506850537512303"
"253_12_73_33_11_1102, 0.4695290603537241"
"426_12_91_0_18_558, 0.426797833649589"
"235_43_47_11_1_703, 0.6281463963963966"
"52_19_79_9_5_756, 0.5698746693121693"
"313_14_111_28_13_848, 0.6339879242970773"
"229_8_157_3_8_566, 0.6832974260375531"
"507_1_6_34_5_553, 0.17078197354891322"
"256_45_58_33_8_1046, 0.5115294773741237"
"403_42_139_33_1_1109, 0.5056141418695522"
"246_13_108_11_4_595, 0.6968557422969188"
"453_42_5_26_9_504, 0.3886502976190476"
"205_29_83_18_2_713, 0.5546590696587191"
"359_0_31_10_19_1046, 0.5111649936265138"
"100_1_41_23_15_1004, 0.287639056519022"
"216_9_121_22_19_1004, 0.47099387254901964"
"463_37_149_0_7_883, 0.676495564363911"
"323_24_178_28_9_762, 0.7444402887139109"
"553_22_173_26_2_985, 0.5538853637901862"
"270_39_143_24_14_963, 0.6117936137071652"
"16_31_112_16_13_661, 0.5641946545637923"
"578_43_83_7_16_851, 0.5798837641989817"
"534_39_21_27_13_513, 0.41718859649122814"
"131_17_155_10_6_854, 0.6569421350507417"
"221_5_108_23_13_643, 0.5378969292227"
"136_8_77_27_0_720, 0.35280994689542494"
"295_31_173_0_9_914, 0.6477692377826405"
"515_12_89_30_16_722, 0.43546847672587047"
"518_41_125_25_3_612, 0.4227414215686275"
"438_34_110_16_0_786, 0.6005362595419846"
"12_47_121_36_15_911, 0.4795127149652397"
"153_9_143_21_14_927, 0.474598848277175"
"461_4_69_2_1_586, 0.23447842635347654"
"551_15_120_22_16_889, 0.5558009439996472"
"501_30_136_9_10_835, 0.737180638722555"
"443_32_131_25_7_1079, 0.6073596694470189"
"355_46_155_18_10_605, 0.7686019283746557"
"122_0_47_34_13_718, 0.3603090761374188"
"283_14_141_25_8_554, 0.7741593579670135"
"491_29_110_7_19_971, 0.7841888087881909"
"221_24_45_24_9_821, 0.5734513804303696"
"364_44_123_25_3_865, 0.6078925818882467"
"579_5_152_11_9_1093, 0.6259996053316111"
"289_14_67_17_16_539, 0.6697900887627777"
"215_31_180_30_16_896, 0.6273128720238096"
"420_5_173_20_5_721, 0.4971323801365206"
"24_22_106_20_1_812, 0.3906364942528736"
"205_2_174_25_6_586, 0.5049217359298669"
"468_2_104_9_17_548, 0.4398520108773437"
"555_0_54_20_4_769, 0.2047494581707846"
"243_29_30_23_16_704, 0.6223937026515152"
"347_34_107_4_2_939, 0.5941855697550585"
"378_30_48_13_2_522, 0.4301034482758621"
"547_12_119_6_20_804, 0.5422972819724905"
"553_30_140_2_3_504, 0.4944166666666668"
"514_9_21_11_16_971, 0.6483801367096786"
"525_6_9_26_6_1092, 0.4534244101486749"
"123_35_40_24_8_616, 0.5204426406926408"
"65_13_80_26_11_613, 0.4847415155295397"
"241_7_102_36_10_595, 0.5842507002801122"
"339_34_70_14_14_1073, 0.6472151289220255"
"145_33_15_14_20_730, 0.6181135844748858"
"9_32_148_34_7_828, 0.4762210144927536"
"133_26_66_19_14_672, 0.5819962797619048"
"238_2_12_30_5_1105, 0.2631749622926094"
"462_34_62_24_12_1009, 0.6520761480013215"
"100_11_143_32_20_908, 0.4738792379286517"
"296_45_19_32_7_850, 0.5679289215686275"
"45_43_115_9_8_760, 0.6238678728070176"
"298_14_42_2_19_1106, 0.5225987749530192"
"209_17_90_34_18_1090, 0.5154090214067278"
"532_8_115_17_9_981, 0.5768058853510823"
"482_29_122_32_17_507, 0.5097958579881656"
"191_4_37_18_15_876, 0.4269347132688693"
"181_8_34_7_15_681, 0.5705311825170598"
"497_23_21_25_3_872, 0.5035127102446483"
"521_15_6_11_1_1075, 0.606216370269038"
"39_2_129_35_8_636, 0.3537958518312986"
"363_34_174_17_4_1100, 0.5808143939393942"
"471_25_166_18_18_822, 0.7039215328467154"
"528_11_44_29_17_909, 0.5164406911279362"
"308_0_172_1_16_867, 0.5136170703575549"
"237_44_102_3_12_890, 0.6385346441947567"
"465_5_95_21_6_1045, 0.47108206679801123"
"297_28_35_32_14_769, 0.6487757910706546"
"268_40_12_25_11_659, 0.6342073849266565"
"58_42_56_21_1_516, 0.3930736434108527"
"65_25_22_8_17_689, 0.589470488630866"
"584_42_49_36_6_1051, 0.539610926102125"
"246_1_9_5_7_581, 0.4768278913975229"
"106_44_147_20_7_550, 0.6372348484848486"
"552_29_115_17_2_833, 0.4725487194877952"
"414_44_36_0_3_725, 0.5303160919540231"
"207_45_89_7_7_847, 0.64278404171586"
"483_44_7_13_15_1021, 0.7195799053215802"
"128_31_89_9_18_631, 0.6977082673005811"
"231_17_149_31_13_1102, 0.5470218542044768"
"514_35_47_4_15_987, 0.6943589159067882"
"479_26_58_14_8_763, 0.611234381826125"
"192_24_143_18_1_687, 0.5768089519650657"
"42_45_13_9_10_833, 0.5686921768707484"
"220_14_150_22_1_877, 0.4763465803653275"
"376_22_60_4_0_529, 0.37883301827347204"
"564_27_78_14_15_917, 0.6307271901126863"
"260_31_129_18_7_758, 0.6749447009674584"
"196_45_58_22_14_920, 0.5452400362318841"
"386_22_1_3_20_960, 0.6415299479166666"
"493_34_132_26_12_682, 0.5168924731182797"
"472_27_133_16_5_925, 0.7003941441441442"
"489_9_42_33_12_692, 0.3680481837243569"
"219_1_93_9_14_921, 0.5112549817972791"
"38_10_41_26_7_860, 0.3489011912904697"
"327_1_3_16_0_707, 0.41211062345730376"
"552_44_24_4_3_1093, 0.5968360780725832"
"579_47_146_13_6_985, 0.6455414551607445"
"398_27_157_22_7_583, 0.5653699256718125"
"50_5_177_13_11_798, 0.5199462442871886"
"488_45_143_22_20_909, 0.6886746424642464"
"570_10_150_19_5_574, 0.4629729794356767"
"418_48_99_25_18_646, 0.5581794375644994"
"573_6_155_27_18_587, 0.46743825366603203"
"352_11_161_2_15_839, 0.6812145703334972"
"277_5_136_29_18_1086, 0.4353809446430507"
"467_9_151_24_6_661, 0.39151344516626624"
"458_37_169_13_2_1084, 0.6536679735547356"
"95_46_156_36_19_577, 0.6611363373772386"
"520_41_75_5_0_515, 0.40409789644012944"
"337_0_61_24_5_1059, 0.3221130783758263"
