,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
2412,2219773,321358,1262,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2413,2219774,321358,1265,1.41,6.0,1.0,1.05,1.76,1.43,,2015.0
2414,2219725,321358,1278,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2415,2219709,321358,1127,1.3,6.0,1.0,0.26,2.47,1.21,,2015.0
2416,2219749,321358,1090,71.1,11.0,1.0,56.6,82.0,70.4,,2015.0
2417,2219746,321358,1075,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
2418,2219766,321358,1313,0.005,6.0,1.0,0.003,0.006,0.005,,2015.0
2419,2219815,321358,1330,0.012,,4.0,,,,,
2420,2219737,321358,1404,0.637,6.0,1.0,0.411,0.742,0.668,,2015.0
2421,2219807,321358,1197,1.1,1.0,1.0,,,1.1,,2015.0
2422,2219771,321358,1259,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2423,2219810,321358,1194,22.3,1.0,1.0,,,22.3,,2015.0
2424,2219777,321358,1123,258.0,1.0,1.0,,,258.0,,2015.0
2425,2219761,321358,1299,0.004,6.0,1.0,0.003,0.004,0.004,,2015.0
2426,2219724,321358,1273,0.044,6.0,1.0,0.031,0.062,0.042,,2015.0
2427,2219719,321358,1258,2.22,,4.0,,,,,
2428,2219791,321358,1014,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
2429,2219758,321358,1276,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2430,2219734,321358,1323,0.007,6.0,1.0,0.005,0.01,0.008,,2015.0
2431,2219748,321358,1089,2.41,11.0,1.0,1.87,2.96,2.33,,2015.0
2432,2219825,321358,1085,16.1,,4.0,,,,,
2433,2219806,321358,1180,46.6,1.0,1.0,,,46.6,,2015.0
2434,2219798,321358,1002,1.18,11.0,1.0,0.99,1.29,1.25,,2015.0
2435,2219790,321358,1011,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
2436,2219792,321358,1051,58.7,11.0,1.0,56.1,65.6,57.6,,2015.0
2437,2219756,321358,1108,0.0,1.0,1.0,,,0.0,,2015.0
2438,2219796,321358,1103,16.2,2.0,1.0,0.0,32.3,16.2,,2015.0
2439,2219780,321358,1128,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2440,2219757,321358,1271,0.005,6.0,1.0,0.003,0.006,0.006,,2015.0
2441,2219735,321358,1329,0.006,,4.0,,,,,
2442,2219736,321358,1333,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2443,2219743,321358,1012,0.15,2.0,1.0,0.0,0.3,0.15,,2015.0
2444,2219788,321358,1008,229.0,,49.0,,,,,
2445,2219801,321358,2014,0.001,6.0,1.0,0.0,0.004,0.0,,2015.0
2446,2219802,321358,1334,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2447,2219717,321358,1185,17.2,2.0,1.0,11.2,23.3,17.2,,2015.0
2448,2219808,321358,1198,0.2,1.0,1.0,,,0.2,,2015.0
2449,2219731,321358,1315,6.25,6.0,1.0,4.87,8.73,5.98,,2015.0
2450,2219711,321358,1131,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2451,2219814,321358,1050,13.9,,4.0,,,,,
2452,2219764,321358,1306,0.012,6.0,1.0,0.008,0.017,0.012,,2015.0
2453,2219783,321358,1170,0.318,4.0,1.0,0.26,0.37,0.32,,2015.0
2454,2219824,321358,2026,0.005,,4.0,,,,,
2455,2219779,321358,1126,9.47,6.0,1.0,6.32,11.9,9.58,,2015.0
2456,2219781,321358,1129,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2457,2219722,321358,1264,0.009,6.0,1.0,0.008,0.01,0.008,,2015.0
2458,2219754,321358,1106,1.0,,49.0,,,,,
2459,2219800,321358,2012,0.084,6.0,1.0,0.046,0.126,0.082,,2015.0
2460,2219784,321358,1175,0.143,6.0,1.0,0.11,0.16,0.15,,2015.0
2461,2219759,321358,1292,6.37,,4.0,,,,,
2462,2219716,321358,1184,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
2463,2219785,321358,1183,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
2464,2219747,321358,1079,5.4,6.0,1.0,4.9,5.7,5.5,,2015.0
2465,2219738,321358,1405,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2466,2219813,321358,1063,0.34,,4.0,,,,,
2467,2219752,321358,1098,0.348,11.0,1.0,0.27,0.396,0.376,,2015.0
2468,2219723,321358,1272,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2469,2219819,321358,2020,0.0,,4.0,,,,,
2470,2219809,321358,1199,0.0,1.0,1.0,,,0.0,,2015.0
2471,2219750,321358,1091,166.0,11.0,1.0,134.0,190.0,179.0,,2015.0
2472,2219741,321358,1007,1.97,11.0,1.0,1.73,2.12,1.99,,2015.0
2473,2219740,321358,1003,7.35,,49.0,6.2,8.05,7.79,,
2474,2219732,321358,1316,6.81,6.0,1.0,4.78,8.56,7.03,,2015.0
2475,2219803,321358,1335,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2476,2219775,321358,1266,0.634,6.0,1.0,0.478,0.771,0.654,,2015.0
2477,2219762,321358,1304,0.006,6.0,1.0,0.004,0.009,0.006,,2015.0
2478,2219727,321358,1300,0.01,6.0,1.0,0.006,0.014,0.011,,2015.0
2479,2219721,321358,1263,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2480,2219793,321358,1087,41.0,11.0,1.0,26.0,57.0,46.0,,2015.0
2481,2219812,321358,1195,23.0,1.0,1.0,,,23.0,,2015.0
2482,2219726,321358,1280,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2483,2219811,321358,1196,0.2,1.0,1.0,,,0.2,,2015.0
2484,2219707,321358,1120,3.0,1.0,1.0,,,3.0,,2015.0
2485,2219778,321358,1125,0.31,6.0,1.0,0.22,0.36,0.34,,2015.0
2486,2219728,321358,1301,0.027,6.0,1.0,0.019,0.044,0.025,,2015.0
2487,2219739,321358,1411,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2488,2219770,321358,1406,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2489,2219763,321358,1305,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2490,2219794,321358,1092,289.0,11.0,1.0,231.0,327.0,315.0,,2015.0
2491,2219760,321358,1293,7.48,,4.0,,,,,
2492,2219753,321358,1101,1.06,11.0,1.0,0.785,1.21,1.15,,2015.0
2493,2219767,321358,1314,0.021,6.0,1.0,0.015,0.027,0.02,,2015.0
2494,2219751,321358,1093,438.0,11.0,1.0,387.0,489.0,444.0,,2015.0
2495,2219715,321358,1177,36.0,6.0,1.0,13.0,53.0,41.0,,2015.0
2496,2219745,321358,1062,960.0,,49.0,,,,,
2497,2219822,321358,2024,0.0,,4.0,,,,,
2498,2219786,321358,1004,17.1,11.0,1.0,11.9,19.1,18.2,,2015.0
2499,2219804,321358,2019,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2500,2219718,321358,1257,0.018,,4.0,,,,,
2501,2219816,321358,2010,0.007,,4.0,,,,,
2502,2219769,321358,1331,0.0,,4.0,,,,,
2503,2219708,321358,1122,0.0,1.0,1.0,,,0.0,,2015.0
2504,2219713,321358,1165,0.15,6.0,1.0,0.12,0.17,0.16,,2015.0
2505,2219729,321358,1303,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
2506,2219795,321358,1095,1.38,11.0,1.0,1.17,1.5,1.45,,2015.0
2507,2219797,321358,1109,1.74,6.0,1.0,1.4,2.89,1.53,,2015.0
2508,2219817,321358,2016,6.81,,4.0,,,,,
