,id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
3248,2220543,321611,1003,1.04,,49.0,0.81,1.25,1.06,,
3249,2220537,321611,1091,23.0,12.0,1.0,18.0,27.0,23.0,,2015.0
3250,2220539,321611,1098,0.041,12.0,1.0,0.027,0.058,0.041,,2015.0
3251,2220541,321611,1089,0.78,12.0,1.0,0.35,1.5,0.61,,2015.0
3252,2220542,321611,1012,0.64,6.0,1.0,0.48,0.72,0.67,,2015.0
3253,2220544,321611,1007,0.89,12.0,1.0,0.71,1.05,0.92,,2015.0
3254,2220534,321611,1010,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
3255,2220527,321611,1013,0.0,6.0,1.0,0.0,0.0,0.0,,2015.0
3256,2220533,321611,1008,21.0,,49.0,,,,,
3257,2220545,321611,1090,12.7,12.0,1.0,10.7,14.3,12.5,,2015.0
3258,2220538,321611,1093,282.0,12.0,1.0,183.0,328.0,305.0,,2015.0
3259,13338489,321611,2047,24.0,,1.0,,,,,
3260,13338391,321611,2048,20.0,,49.0,,,,,
11127,2228470,323294,1005,16.2,,49.0,,,,,
11128,2228557,323294,1085,53.4,,4.0,,,,,
11129,2228448,323294,1162,0.0,2.0,1.0,0.0,0.0,0.0,,2015.0
11130,2228495,323294,1165,0.079,8.0,1.0,0.06,0.11,0.08,,2015.0
11131,2228460,323294,1293,14.5,,4.0,,,,,
11132,2228547,323294,1317,0.001,,4.0,,,,,
11133,2228477,323294,1175,0.075,8.0,1.0,0.06,0.08,0.08,,2015.0
11134,2228449,323294,1272,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11135,2228466,323294,1095,2.8,13.0,1.0,2.66,3.04,2.75,,2001.0
11136,2228517,323294,1194,4.3,1.0,1.0,,,4.3,,2001.0
11137,2228545,323294,1330,0.016,,4.0,,,,,
11138,2228539,323294,1130,0.0,8.0,1.0,0.0,0.0,0.0,,2015.0
11139,2228461,323294,1321,0.002,8.0,1.0,0.0,0.006,0.0,,2015.0
11140,2228445,323294,1013,0.0,3.0,1.0,0.0,0.0,0.0,,2015.0
11141,2228499,323294,1257,0.032,,4.0,,,,,
11142,2228471,323294,1259,0.001,8.0,1.0,0.0,0.01,0.0,,2015.0
